text,subject,body,label
Security Alert: Unusual Sign-in Activity Detected Your account has been temporarily limited due to unusual activity. Please confirm your information by clicking http://secure-paypal-update.tk/login within 48 hours to restore full access.,Security Alert: Unusual Sign-in Activity Detected,Your account has been temporarily limited due to unusual activity. Please confirm your information by clicking http://secure-paypal-update.tk/login within 48 hours to restore full access.,1
"Your Monthly Statement Is Ready Hello, your recent order #5640 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Your Monthly Statement Is Ready,"Hello, your recent order #5640 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
Invoice #4521 for August Services Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,Invoice #4521 for August Services,Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,0
"Your Order Has Shipped Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",Your Order Has Shipped,"Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",0
Notes from Today's Standup Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,Notes from Today's Standup,Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,0
Reminder: Project Deadline Next Friday Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,Reminder: Project Deadline Next Friday,Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,0
Immediate Action Needed: Verify Your Email This is your final notice. Failure to verify your account at http://irs-refund-claim.net/form within 24 hours will result in permanent suspension.,Immediate Action Needed: Verify Your Email,This is your final notice. Failure to verify your account at http://irs-refund-claim.net/form within 24 hours will result in permanent suspension.,1
Your PayPal Account Has Been Limited Act now! Your password expires today. Verify your credentials immediately at http://192.168.44.12/verify-account or you will lose access to your account.,Your PayPal Account Has Been Limited,Act now! Your password expires today. Verify your credentials immediately at http://192.168.44.12/verify-account or you will lose access to your account.,1
"Your Flight Itinerary for Next Week Hello, your recent order #7730 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Your Flight Itinerary for Next Week,"Hello, your recent order #7730 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
"Your Flight Itinerary for Next Week Hey, are you free for lunch on Thursday? Thought it'd be nice to catch up before the quarter wraps up.",Your Flight Itinerary for Next Week,"Hey, are you free for lunch on Thursday? Thought it'd be nice to catch up before the quarter wraps up.",0
Reminder: Project Deadline Next Friday Welcome aboard! We're excited to have you join our community. Feel free to introduce yourself in the forum whenever you get a chance.,Reminder: Project Deadline Next Friday,Welcome aboard! We're excited to have you join our community. Feel free to introduce yourself in the forum whenever you get a chance.,0
"Urgent: Your Account Will Be Suspended Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://amaz0n-billing-support.com/confirm",Urgent: Your Account Will Be Suspended,"Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://amaz0n-billing-support.com/confirm",1
Your Password Will Expire Today - Reset Now You have 1 unclaimed reward waiting. Verify your identity at http://appleid-verify-secure.info/reset to receive your gift card before it expires tonight.,Your Password Will Expire Today - Reset Now,You have 1 unclaimed reward waiting. Verify your identity at http://appleid-verify-secure.info/reset to receive your gift card before it expires tonight.,1
Action Required: Verify Your Account Now This is your final notice. Failure to verify your account at http://tinyurl.com/verify-now-2024 within 24 hours will result in permanent suspension.,Action Required: Verify Your Account Now,This is your final notice. Failure to verify your account at http://tinyurl.com/verify-now-2024 within 24 hours will result in permanent suspension.,1
"Your PayPal Account Has Been Limited URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://netfl1x-billing.com/payment.",Your PayPal Account Has Been Limited,"URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://netfl1x-billing.com/payment.",1
"Weekly Newsletter - Product Updates Hi everyone, here's this week's newsletter with updates on new features, upcoming events, and tips from the community.",Weekly Newsletter - Product Updates,"Hi everyone, here's this week's newsletter with updates on new features, upcoming events, and tips from the community.",0
Your Payment Failed - Update Billing Info Immediately Act now! Your password expires today. Verify your credentials immediately at http://netfl1x-billing.com/payment or you will lose access to your account.,Your Payment Failed - Update Billing Info Immediately,Act now! Your password expires today. Verify your credentials immediately at http://netfl1x-billing.com/payment or you will lose access to your account.,1
"Invoice #4521 for August Services Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",Invoice #4521 for August Services,"Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",0
Notes from Today's Standup Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,Notes from Today's Standup,Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,0
"Security Alert: Unusual Sign-in Activity Detected Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://appleid-verify-secure.info/reset",Security Alert: Unusual Sign-in Activity Detected,"Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://appleid-verify-secure.info/reset",1
Your Flight Itinerary for Next Week Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,Your Flight Itinerary for Next Week,Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,0
"Your PayPal Account Has Been Limited URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://amaz0n-billing-support.com/confirm.",Your PayPal Account Has Been Limited,"URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://amaz0n-billing-support.com/confirm.",1
Weekly Newsletter - Product Updates Please find attached invoice #4362 for services rendered in August. Payment is due within 30 days per our standard terms.,Weekly Newsletter - Product Updates,Please find attached invoice #4362 for services rendered in August. Payment is due within 30 days per our standard terms.,0
"Welcome to Our Community! Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",Welcome to Our Community!,"Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",0
"Confirm Your Identity to Avoid Account Closure Dear user, our records show a failed delivery attempt for your package. Click http://bit.ly/3xJa9Lm and pay a small redelivery fee to reschedule.",Confirm Your Identity to Avoid Account Closure,"Dear user, our records show a failed delivery attempt for your package. Click http://bit.ly/3xJa9Lm and pay a small redelivery fee to reschedule.",1
Congratulations! You Are Our Lucky Winner Your refund of $850 is ready to be processed. Click http://netfl1x-billing.com/payment now and provide your account number to receive the funds immediately.,Congratulations! You Are Our Lucky Winner,Your refund of $850 is ready to be processed. Click http://netfl1x-billing.com/payment now and provide your account number to receive the funds immediately.,1
Your Order Has Shipped Your monthly account statement for 1228 is now available in your dashboard. Let us know if you have any questions about the charges.,Your Order Has Shipped,Your monthly account statement for 1228 is now available in your dashboard. Let us know if you have any questions about the charges.,0
Urgent: Your Account Will Be Suspended Your refund of $850 is ready to be processed. Click http://update-account-now.xyz/login.php now and provide your account number to receive the funds immediately.,Urgent: Your Account Will Be Suspended,Your refund of $850 is ready to be processed. Click http://update-account-now.xyz/login.php now and provide your account number to receive the funds immediately.,1
"Action Required: Verify Your Account Now Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://irs-refund-claim.net/form",Action Required: Verify Your Account Now,"Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://irs-refund-claim.net/form",1
"Welcome to Our Community! Hey, are you free for lunch on Thursday? Thought it'd be nice to catch up before the quarter wraps up.",Welcome to Our Community!,"Hey, are you free for lunch on Thursday? Thought it'd be nice to catch up before the quarter wraps up.",0
Unusual Login Attempt on Your Bank Account Act now! Your password expires today. Verify your credentials immediately at http://tinyurl.com/verify-now-2024 or you will lose access to your account.,Unusual Login Attempt on Your Bank Account,Act now! Your password expires today. Verify your credentials immediately at http://tinyurl.com/verify-now-2024 or you will lose access to your account.,1
"Your Payment Failed - Update Billing Info Immediately Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://netfl1x-billing.com/payment",Your Payment Failed - Update Billing Info Immediately,"Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://netfl1x-billing.com/payment",1
"Your Payment Failed - Update Billing Info Immediately URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://update-account-now.xyz/login.php.",Your Payment Failed - Update Billing Info Immediately,"URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://update-account-now.xyz/login.php.",1
Lunch Plans This Week? Welcome aboard! We're excited to have you join our community. Feel free to introduce yourself in the forum whenever you get a chance.,Lunch Plans This Week?,Welcome aboard! We're excited to have you join our community. Feel free to introduce yourself in the forum whenever you get a chance.,0
Your Monthly Statement Is Ready Thank you for registering for the conference. Your confirmation number is 1897. We look forward to seeing you there.,Your Monthly Statement Is Ready,Thank you for registering for the conference. Your confirmation number is 1897. We look forward to seeing you there.,0
"Notes from Today's Standup Hello, your recent order #6153 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Notes from Today's Standup,"Hello, your recent order #6153 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
"Your PayPal Account Has Been Limited Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://amaz0n-billing-support.com/confirm",Your PayPal Account Has Been Limited,"Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://amaz0n-billing-support.com/confirm",1
"Urgent: Your Account Will Be Suspended Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://netfl1x-billing.com/payment",Urgent: Your Account Will Be Suspended,"Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://netfl1x-billing.com/payment",1
"Urgent: Your Account Will Be Suspended Dear Customer, we have detected suspicious activity on your account. Click here http://tinyurl.com/verify-now-2024 immediately to verify your identity or your account will be permanently suspended within 24 hours.",Urgent: Your Account Will Be Suspended,"Dear Customer, we have detected suspicious activity on your account. Click here http://tinyurl.com/verify-now-2024 immediately to verify your identity or your account will be permanently suspended within 24 hours.",1
"Confirm Your Identity to Avoid Account Closure Dear Customer, we have detected suspicious activity on your account. Click here http://secure-paypal-update.tk/login immediately to verify your identity or your account will be permanently suspended within 24 hours.",Confirm Your Identity to Avoid Account Closure,"Dear Customer, we have detected suspicious activity on your account. Click here http://secure-paypal-update.tk/login immediately to verify your identity or your account will be permanently suspended within 24 hours.",1
Your Password Will Expire Today - Reset Now We were unable to process your recent payment. Please update your billing details urgently at http://192.168.44.12/verify-account to avoid service interruption.,Your Password Will Expire Today - Reset Now,We were unable to process your recent payment. Please update your billing details urgently at http://192.168.44.12/verify-account to avoid service interruption.,1
"Final Notice: Your Package Could Not Be Delivered URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://amaz0n-billing-support.com/confirm.",Final Notice: Your Package Could Not Be Delivered,"URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://amaz0n-billing-support.com/confirm.",1
"Your Monthly Statement Is Ready Hello, your recent order #9922 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Your Monthly Statement Is Ready,"Hello, your recent order #9922 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
Conference Registration Confirmation Thank you for registering for the conference. Your confirmation number is 9984. We look forward to seeing you there.,Conference Registration Confirmation,Thank you for registering for the conference. Your confirmation number is 9984. We look forward to seeing you there.,0
Your Flight Itinerary for Next Week Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,Your Flight Itinerary for Next Week,Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,0
Unusual Login Attempt on Your Bank Account Act now! Your password expires today. Verify your credentials immediately at http://bankofamerica-alert.co/secure or you will lose access to your account.,Unusual Login Attempt on Your Bank Account,Act now! Your password expires today. Verify your credentials immediately at http://bankofamerica-alert.co/secure or you will lose access to your account.,1
"Weekly Newsletter - Product Updates Hello, your recent order #6736 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Weekly Newsletter - Product Updates,"Hello, your recent order #6736 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
Lunch Plans This Week? Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,Lunch Plans This Week?,Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,0
IRS Tax Refund Pending - Claim Now Your account has been temporarily limited due to unusual activity. Please confirm your information by clicking http://netfl1x-billing.com/payment within 48 hours to restore full access.,IRS Tax Refund Pending - Claim Now,Your account has been temporarily limited due to unusual activity. Please confirm your information by clicking http://netfl1x-billing.com/payment within 48 hours to restore full access.,1
"Your Flight Itinerary for Next Week Hi everyone, here's this week's newsletter with updates on new features, upcoming events, and tips from the community.",Your Flight Itinerary for Next Week,"Hi everyone, here's this week's newsletter with updates on new features, upcoming events, and tips from the community.",0
"Your Order Has Shipped Hello, your recent order #7565 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Your Order Has Shipped,"Hello, your recent order #7565 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
Security Alert: Unusual Sign-in Activity Detected This is your final notice. Failure to verify your account at http://netfl1x-billing.com/payment within 24 hours will result in permanent suspension.,Security Alert: Unusual Sign-in Activity Detected,This is your final notice. Failure to verify your account at http://netfl1x-billing.com/payment within 24 hours will result in permanent suspension.,1
"Thanks for Your Recent Purchase Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",Thanks for Your Recent Purchase,"Hi team, just a reminder that our meeting has been moved to 3 PM today in the main conference room. Please bring your project updates.",0
"Weekly Newsletter - Product Updates Hello, your recent order #8560 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Weekly Newsletter - Product Updates,"Hello, your recent order #8560 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
Conference Registration Confirmation Your monthly account statement for 4945 is now available in your dashboard. Let us know if you have any questions about the charges.,Conference Registration Confirmation,Your monthly account statement for 4945 is now available in your dashboard. Let us know if you have any questions about the charges.,0
Updated Company Holiday Schedule Welcome aboard! We're excited to have you join our community. Feel free to introduce yourself in the forum whenever you get a chance.,Updated Company Holiday Schedule,Welcome aboard! We're excited to have you join our community. Feel free to introduce yourself in the forum whenever you get a chance.,0
Your Subscription Renewal Confirmation Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,Your Subscription Renewal Confirmation,Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,0
Urgent: Your Account Will Be Suspended This is your final notice. Failure to verify your account at http://192.168.44.12/verify-account within 24 hours will result in permanent suspension.,Urgent: Your Account Will Be Suspended,This is your final notice. Failure to verify your account at http://192.168.44.12/verify-account within 24 hours will result in permanent suspension.,1
"Welcome to Our Community! Hello, your recent order #9313 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",Welcome to Our Community!,"Hello, your recent order #9313 has shipped and is expected to arrive within 3-5 business days. You can track it using the carrier's website.",0
Your Flight Itinerary for Next Week Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,Your Flight Itinerary for Next Week,Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,0
Your Payment Failed - Update Billing Info Immediately Act now! Your password expires today. Verify your credentials immediately at http://amaz0n-billing-support.com/confirm or you will lose access to your account.,Your Payment Failed - Update Billing Info Immediately,Act now! Your password expires today. Verify your credentials immediately at http://amaz0n-billing-support.com/confirm or you will lose access to your account.,1
"Weekly Newsletter - Product Updates Hey, are you free for lunch on Thursday? Thought it'd be nice to catch up before the quarter wraps up.",Weekly Newsletter - Product Updates,"Hey, are you free for lunch on Thursday? Thought it'd be nice to catch up before the quarter wraps up.",0
Invoice #4521 for August Services Your monthly account statement for 9725 is now available in your dashboard. Let us know if you have any questions about the charges.,Invoice #4521 for August Services,Your monthly account statement for 9725 is now available in your dashboard. Let us know if you have any questions about the charges.,0
Notes from Today's Standup Your monthly account statement for 1888 is now available in your dashboard. Let us know if you have any questions about the charges.,Notes from Today's Standup,Your monthly account statement for 1888 is now available in your dashboard. Let us know if you have any questions about the charges.,0
Action Required: Verify Your Account Now We were unable to process your recent payment. Please update your billing details urgently at http://appleid-verify-secure.info/reset to avoid service interruption.,Action Required: Verify Your Account Now,We were unable to process your recent payment. Please update your billing details urgently at http://appleid-verify-secure.info/reset to avoid service interruption.,1
Your Payment Failed - Update Billing Info Immediately Your refund of $850 is ready to be processed. Click http://bankofamerica-alert.co/secure now and provide your account number to receive the funds immediately.,Your Payment Failed - Update Billing Info Immediately,Your refund of $850 is ready to be processed. Click http://bankofamerica-alert.co/secure now and provide your account number to receive the funds immediately.,1
"Claim Your Free iPhone Before It's Too Late Dear Customer, we have detected suspicious activity on your account. Click here http://irs-refund-claim.net/form immediately to verify your identity or your account will be permanently suspended within 24 hours.",Claim Your Free iPhone Before It's Too Late,"Dear Customer, we have detected suspicious activity on your account. Click here http://irs-refund-claim.net/form immediately to verify your identity or your account will be permanently suspended within 24 hours.",1
Immediate Action Needed: Verify Your Email Your refund of $850 is ready to be processed. Click http://192.168.44.12/verify-account now and provide your account number to receive the funds immediately.,Immediate Action Needed: Verify Your Email,Your refund of $850 is ready to be processed. Click http://192.168.44.12/verify-account now and provide your account number to receive the funds immediately.,1
Your Flight Itinerary for Next Week Thank you for registering for the conference. Your confirmation number is 4920. We look forward to seeing you there.,Your Flight Itinerary for Next Week,Thank you for registering for the conference. Your confirmation number is 4920. We look forward to seeing you there.,0
Security Alert: Unusual Sign-in Activity Detected Act now! Your password expires today. Verify your credentials immediately at http://tinyurl.com/verify-now-2024 or you will lose access to your account.,Security Alert: Unusual Sign-in Activity Detected,Act now! Your password expires today. Verify your credentials immediately at http://tinyurl.com/verify-now-2024 or you will lose access to your account.,1
"Final Notice: Your Package Could Not Be Delivered Dear user, our records show a failed delivery attempt for your package. Click http://bankofamerica-alert.co/secure and pay a small redelivery fee to reschedule.",Final Notice: Your Package Could Not Be Delivered,"Dear user, our records show a failed delivery attempt for your package. Click http://bankofamerica-alert.co/secure and pay a small redelivery fee to reschedule.",1
Your Monthly Statement Is Ready Your monthly account statement for 2557 is now available in your dashboard. Let us know if you have any questions about the charges.,Your Monthly Statement Is Ready,Your monthly account statement for 2557 is now available in your dashboard. Let us know if you have any questions about the charges.,0
"Urgent: Your Account Will Be Suspended Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://tinyurl.com/verify-now-2024",Urgent: Your Account Will Be Suspended,"Congratulations!!! You have been selected to receive a reward of $1000. To claim your prize, please click the link below and enter your bank details: http://tinyurl.com/verify-now-2024",1
Reminder: Project Deadline Next Friday Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,Reminder: Project Deadline Next Friday,Here are the notes from today's standup: we discussed progress on the sprint tasks and identified a couple of blockers to follow up on.,0
"Action Required: Verify Your Account Now URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://tinyurl.com/verify-now-2024.",Action Required: Verify Your Account Now,"URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://tinyurl.com/verify-now-2024.",1
Your Payment Failed - Update Billing Info Immediately We were unable to process your recent payment. Please update your billing details urgently at http://bankofamerica-alert.co/secure to avoid service interruption.,Your Payment Failed - Update Billing Info Immediately,We were unable to process your recent payment. Please update your billing details urgently at http://bankofamerica-alert.co/secure to avoid service interruption.,1
Your Password Will Expire Today - Reset Now This is your final notice. Failure to verify your account at http://192.168.44.12/verify-account within 24 hours will result in permanent suspension.,Your Password Will Expire Today - Reset Now,This is your final notice. Failure to verify your account at http://192.168.44.12/verify-account within 24 hours will result in permanent suspension.,1
"Unusual Login Attempt on Your Bank Account URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://tinyurl.com/verify-now-2024.",Unusual Login Attempt on Your Bank Account,"URGENT: Unusual sign-in activity was detected from a new device. If this wasn't you, secure your account now at http://tinyurl.com/verify-now-2024.",1
"New Blog Post: Tips for Remote Work Hey, are you free for lunch on Thursday? Thought it'd be nice to catch up before the quarter wraps up.",New Blog Post: Tips for Remote Work,"Hey, are you free for lunch on Thursday? Thought it'd be nice to catch up before the quarter wraps up.",0
Your Netflix Subscription Payment Was Declined You have 1 unclaimed reward waiting. Verify your identity at http://bankofamerica-alert.co/secure to receive your gift card before it expires tonight.,Your Netflix Subscription Payment Was Declined,You have 1 unclaimed reward waiting. Verify your identity at http://bankofamerica-alert.co/secure to receive your gift card before it expires tonight.,1
Security Alert: Unusual Sign-in Activity Detected We were unable to process your recent payment. Please update your billing details urgently at http://update-account-now.xyz/login.php to avoid service interruption.,Security Alert: Unusual Sign-in Activity Detected,We were unable to process your recent payment. Please update your billing details urgently at http://update-account-now.xyz/login.php to avoid service interruption.,1
Your PayPal Account Has Been Limited We were unable to process your recent payment. Please update your billing details urgently at http://amaz0n-billing-support.com/confirm to avoid service interruption.,Your PayPal Account Has Been Limited,We were unable to process your recent payment. Please update your billing details urgently at http://amaz0n-billing-support.com/confirm to avoid service interruption.,1
Your Monthly Statement Is Ready Thank you for registering for the conference. Your confirmation number is 9692. We look forward to seeing you there.,Your Monthly Statement Is Ready,Thank you for registering for the conference. Your confirmation number is 9692. We look forward to seeing you there.,0
Updated Company Holiday Schedule Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,Updated Company Holiday Schedule,Just a friendly reminder that the project deliverable is due next Friday. Let me know if you need any help finishing up your section.,0
Action Required: Verify Your Account Now This is your final notice. Failure to verify your account at http://appleid-verify-secure.info/reset within 24 hours will result in permanent suspension.,Action Required: Verify Your Account Now,This is your final notice. Failure to verify your account at http://appleid-verify-secure.info/reset within 24 hours will result in permanent suspension.,1
